,reward,year_month,requesterId,cohort
250,1.0,2015-11,A17KZN5EYMN9ZG,2014-06
251,4.7,2015-12,A17KZN5EYMN9ZG,2014-06
252,6.8,2016-02,A17KZN5EYMN9ZG,2014-06
253,221.0,2014-06,A17Q7W1PIA2ERG,2014-06
254,350.0,2014-07,A17Q7W1PIA2ERG,2014-06
255,18.0,2014-08,A17Q7W1PIA2ERG,2014-06
256,12.0,2014-09,A17Q7W1PIA2ERG,2014-06
257,232.0,2014-10,A17Q7W1PIA2ERG,2014-06
258,700.0,2014-11,A17Q7W1PIA2ERG,2014-06
259,18.0,2014-12,A17Q7W1PIA2ERG,2014-06
260,1.6,2014-06,A17QWZG5G0M3F1,2014-06
261,1.2,2014-07,A17QWZG5G0M3F1,2014-06
262,0.8,2014-08,A17QWZG5G0M3F1,2014-06
263,1.6,2014-09,A17QWZG5G0M3F1,2014-06
264,0.6,2014-10,A17QWZG5G0M3F1,2014-06
265,4.4,2014-12,A17QWZG5G0M3F1,2014-06
266,0.4,2015-01,A17QWZG5G0M3F1,2014-06
267,1.6,2015-04,A17QWZG5G0M3F1,2014-06
268,2.4,2015-05,A17QWZG5G0M3F1,2014-06
269,4.0,2015-06,A17QWZG5G0M3F1,2014-06
270,2.0,2015-07,A17QWZG5G0M3F1,2014-06
271,16.0,2015-08,A17QWZG5G0M3F1,2014-06
272,0.8,2015-09,A17QWZG5G0M3F1,2014-06
273,5.6,2015-10,A17QWZG5G0M3F1,2014-06
274,1102.08,2014-06,A17SG3PCAE3F9S,2014-06
275,502.32,2014-07,A17SG3PCAE3F9S,2014-06
276,11.0,2014-06,A17YVJZ9902MMP,2014-06
277,1.1,2014-06,A18CIQ1OEIS8OM,2014-06
278,226.5,2014-06,A18F23JJPMOONU,2014-06
279,848.6,2014-07,A18F23JJPMOONU,2014-06
280,749.32,2014-08,A18F23JJPMOONU,2014-06
281,741.88,2014-11,A18F23JJPMOONU,2014-06
282,94.6,2015-01,A18F23JJPMOONU,2014-06
283,123.6,2015-02,A18F23JJPMOONU,2014-06
284,4.2,2015-04,A18F23JJPMOONU,2014-06
285,21.2,2015-05,A18F23JJPMOONU,2014-06
286,0.6,2014-06,A18HD9GU3WED8M,2014-06
287,274.4,2014-06,A18NXLR9VRSFQT,2014-06
288,39.3,2015-04,A18NXLR9VRSFQT,2014-06
289,3.0,2015-05,A18NXLR9VRSFQT,2014-06
290,0.3,2014-06,A18Q065HGLCYD2,2014-06
291,4.5,2014-06,A18T90B9H4KKMK,2014-06
292,1.5,2014-07,A18T90B9H4KKMK,2014-06
293,2.0,2014-08,A18T90B9H4KKMK,2014-06
294,1.0,2015-04,A18T90B9H4KKMK,2014-06
295,0.5,2015-06,A18T90B9H4KKMK,2014-06
296,1.0,2015-07,A18T90B9H4KKMK,2014-06
297,0.5,2015-10,A18T90B9H4KKMK,2014-06
298,0.62,2016-01,A18T90B9H4KKMK,2014-06
299,125.6,2014-06,A1902DYQ6AAHOP,2014-06
300,183.14,2014-07,A1902DYQ6AAHOP,2014-06
301,21.8,2014-06,A192AYHG9PD3YN,2014-06
302,0.25,2014-08,A192AYHG9PD3YN,2014-06
303,10.0,2014-06,A194ARYB57C6LH,2014-06
304,35.16,2014-07,A194ARYB57C6LH,2014-06
305,68.0,2014-08,A194ARYB57C6LH,2014-06
306,36.0,2014-09,A194ARYB57C6LH,2014-06
307,6.0,2014-10,A194ARYB57C6LH,2014-06
308,539.14,2014-11,A194ARYB57C6LH,2014-06
309,5.5,2014-12,A194ARYB57C6LH,2014-06
310,2.0,2015-01,A194ARYB57C6LH,2014-06
311,251.7,2015-02,A194ARYB57C6LH,2014-06
312,422.76,2015-03,A194ARYB57C6LH,2014-06
313,96.0,2015-04,A194ARYB57C6LH,2014-06
314,281.1,2015-05,A194ARYB57C6LH,2014-06
315,0.7,2015-06,A194ARYB57C6LH,2014-06
316,8.5,2015-08,A194ARYB57C6LH,2014-06
317,12.0,2015-11,A194ARYB57C6LH,2014-06
318,1.2,2014-06,A19AQVZE43DEI7,2014-06
319,1.2,2014-08,A19AQVZE43DEI7,2014-06
320,0.75,2014-06,A19BAK6G4JCCNP,2014-06
321,3.14,2014-09,A19BAK6G4JCCNP,2014-06
322,0.14,2014-10,A19BAK6G4JCCNP,2014-06
323,2.0,2014-06,A19CXDCAD490QC,2014-06
324,26.4,2015-02,A19CXDCAD490QC,2014-06
325,1.0,2015-03,A19CXDCAD490QC,2014-06
326,2.0,2014-06,A19DPR75HKJDS3,2014-06
327,0.84,2014-08,A19DPR75HKJDS3,2014-06
328,4.0,2014-07,A19EGQ5DJV4A7S,2014-06
329,0.4,2014-07,A19PCBEDD8MX37,2014-06
330,172.5,2014-06,A19PNHLUCHJ034,2014-06
331,18.9,2015-06,A19PNHLUCHJ034,2014-06
332,40.5,2015-07,A19PNHLUCHJ034,2014-06
333,1.0,2014-06,A19SQN8F6JAS7S,2014-06
334,4.5,2014-06,A19VVT40A0FGE1,2014-06
335,1.0,2015-06,A19VVT40A0FGE1,2014-06
336,0.8,2014-06,A19XJVLDBWQEQ3,2014-06
337,0.6,2014-08,A19XJVLDBWQEQ3,2014-06
338,16.0,2014-06,A19XL3YVI3NVW,2014-06
339,3.0,2014-12,A19XL3YVI3NVW,2014-06
340,12.02,2016-01,A19XL3YVI3NVW,2014-06
341,2.0,2016-02,A19XL3YVI3NVW,2014-06
